fare_id,route_id,origin_id,destination_id,contains_id
15097,562349,,,
15097,562026,,,
15097,562202,,,
15097,561924,,,
15097,562184,,,
15097,562140,,,
15097,562241,,,
15097,561860,,,
15097,562175,,,
15097,561803,,,
15097,562021,,,
15097,561900,,,
15097,561930,,,
15097,562000,,,
15097,561859,,,
15097,561939,,,
15097,562105,,,
15097,561787,,,
15097,561975,,,
15097,561804,,,
15097,561919,,,
15097,561894,,,
15097,561969,,,
15097,561920,,,
15097,562033,,,
15097,561950,,,
15097,561960,,,
15097,561812,,,
15097,562155,,,
15097,561806,,,
15097,561886,,,
15097,561982,,,
15097,562138,,,
15097,562144,,,
15097,561852,,,
15097,561865,,,
15097,561903,,,
15097,562152,,,
15097,562237,,,
15097,562167,,,
15097,561801,,,
15097,562084,,,
15097,561872,,,
15097,561813,,,
15097,561949,,,
15097,562181,,,
15097,561945,,,
15097,561846,,,
15097,561948,,,
15097,561956,,,
15097,561933,,,
15097,562407,,,
15097,562304,,,
15097,561830,,,
15097,562083,,,
15097,561799,,,
15097,561912,,,
15097,561875,,,
15097,561833,,,
15097,562351,,,
15097,562341,,,
15097,561811,,,
15097,562323,,,
15097,562075,,,
15097,562160,,,
15097,561926,,,
15097,561992,,,
15097,561883,,,
15097,561832,,,
15097,561959,,,
15097,562410,,,
15097,562230,,,
15097,561972,,,
15097,562111,,,
15097,562013,,,
15097,562272,,,
15097,561987,,,
15097,562227,,,
15097,562412,,,
15097,561796,,,
15097,561925,,,
15097,562001,,,
15097,562363,,,
15097,561828,,,
15097,561849,,,
15097,561836,,,
15097,561827,,,
15097,573119,,,
15097,562125,,,
15097,562136,,,
15097,562327,,,
15097,562050,,,
15097,562054,,,
15097,561814,,,
15097,562101,,,
15097,562058,,,
15097,562120,,,
15097,561802,,,
15097,562284,,,
15097,562302,,,
15097,562189,,,
15097,562093,,,
15097,561999,,,
15097,561917,,,
15097,561856,,,
15097,561951,,,
15097,562378,,,
15097,561821,,,
15097,562074,,,
15097,562146,,,
15097,562127,,,
15097,562156,,,
15097,561893,,,
15097,561966,,,
15097,562397,,,
15097,561868,,,
15097,562032,,,
15097,562122,,,
15097,561837,,,
15097,561791,,,
15097,561955,,,
15097,561963,,,
15097,562240,,,
15097,561829,,,
15097,562440,,,
15097,562445,,,
15097,562435,,,
15097,562441,,,
15097,562448,,,
15097,562451,,,
15097,562427,,,
15097,562453,,,
15097,562426,,,
15097,562433,,,
15099,561973,,,
15099,562096,,,
15099,561822,,,
15099,561993,,,
15099,561826,,,
15099,562361,,,
15099,562210,,,
15099,561851,,,
15099,561923,,,
15099,562370,,,
15099,562313,,,
15099,561970,,,
15099,561985,,,
15099,562109,,,
15099,561964,,,
15099,562331,,,
15099,562137,,,
15099,561798,,,
15099,561915,,,
15099,561855,,,
15099,561953,,,
15099,562068,,,
15099,561792,,,
15099,561921,,,
15099,561944,,,
15099,562204,,,
15099,562055,,,
15099,561892,,,
15099,561988,,,
15099,561834,,,
15099,561890,,,
15099,562003,,,
15099,561974,,,
15099,561947,,,
15099,561809,,,
15099,561907,,,
15099,562043,,,
15099,561879,,,
15099,561835,,,
15099,561998,,,
15099,561874,,,
15099,561795,,,
15099,562310,,,
15099,562253,,,
15099,561901,,,
15099,561932,,,
15099,561898,,,
15099,561916,,,
15099,562020,,,
15099,561885,,,
15099,562051,,,
15099,561790,,,
15099,561888,,,
15099,561942,,,
15099,562049,,,
15099,561889,,,
15099,562393,,,
15099,561914,,,
15099,562064,,,
15099,562034,,,
15099,561788,,,
15099,562106,,,
15099,561961,,,
15099,562012,,,
15099,562047,,,
15099,561936,,,
15099,561794,,,
15099,561918,,,
15099,562250,,,
15099,562060,,,
15099,561979,,,
15099,562132,,,
15099,561858,,,
15099,561843,,,
15099,561904,,,
15099,562113,,,
15099,562085,,,
15099,562252,,,
15099,561899,,,
15099,561841,,,
15099,562218,,,
15099,562303,,,
15099,562294,,,
15099,561958,,,
15099,561810,,,
15099,561853,,,
15099,562004,,,
15099,562290,,,
15099,561850,,,
15099,562388,,,
15099,562053,,,
15099,562023,,,
15099,561862,,,
15099,562090,,,
15099,561952,,,
15099,561864,,,
15099,562389,,,
15099,561935,,,
15099,562271,,,
15099,561957,,,
15099,562035,,,
15099,561983,,,
15099,562337,,,
15099,562358,,,
15099,561869,,,
15099,561880,,,
15099,561971,,,
15099,562220,,,
15099,562072,,,
15099,561891,,,
15099,562030,,,
15099,561805,,,
15099,561928,,,
15099,561848,,,
15099,561934,,,
15099,562168,,,
15099,562172,,,
15099,561943,,,
15099,562079,,,
15099,561825,,,
15099,561905,,,
15099,562016,,,
15099,562157,,,
15099,561808,,,
15099,562088,,,
15099,561929,,,
15099,562134,,,
15099,562165,,,
15099,561807,,,
15099,562360,,,
15099,561937,,,
15099,561896,,,
15099,562059,,,
15099,562239,,,
15099,561870,,,
15099,562193,,,
15099,562052,,,
15099,562121,,,
15099,561882,,,
15099,562008,,,
15099,561968,,,
15099,562171,,,
15099,562185,,,
15099,562347,,,
15099,561824,,,
15099,562217,,,
15099,562367,,,
15099,562225,,,
15099,561847,,,
15099,562163,,,
15099,562066,,,
15099,561831,,,
15099,561823,,,
15099,562178,,,
15099,562153,,,
15099,562264,,,
15099,562288,,,
15099,562027,,,
15099,562437,,,
15099,562422,,,
15099,562439,,,
15099,562442,,,
15099,562438,,,
15099,562429,,,
15099,562424,,,
15099,562436,,,
15099,562425,,,
15099,562423,,,
15099,562444,,,
15099,562434,,,
15100,562443,,,
15099,561838,,,
18935,989341,,,
