linha	nome_linha	direction_id	headsign_comum	origem_stop_name	origem_lat	origem_lon	destino_stop_name	destino_lat	destino_lon	viagens_contadas	route_id	origem_stop_id	destino_stop_id
203	Morro Das Pedras/Ventosa	0	Vila Leonina	Pca Do Ensino 219	-19.95595625	-43.96558033	Pca Do Ensino 219	-19.95595625	-43.96558033	162	561831	14789753	14789753
204	Estação Vila Oeste / Nova Gameleira	0	Estação Vila Oeste	Rua Dois Mil Quatrocentos E Vinte Sete 89	-19.93908721	-44.00274095	Rua Dois Mil Quatrocentos E Vinte Sete 89	-19.93908721	-44.00274095	188	561946	14785791	14785791
205	Metro Calafate/Buritis	0	Metro Calafate	Avenida Guaratan, 1049	-19.92266822	-43.96991798	Avenida Guaratan, 1049	-19.92266822	-43.96991798	216	562349	14791995	14791995
206	Circular Oeste	0	Upa Oeste	Rua Professor Tavares Paes 10	-19.94950846	-43.96926701	Rua Professor Tavares Paes 10	-19.94950846	-43.96926701	216	562026	14792546	14792546
208	Estação Barreiro/Betania Via Novo Das Industrias	0	Estação Barreiro	Estação Barreiro - Plataforma B3	-19.97400397	-44.02110135	Estação Barreiro - Plataforma B3	-19.97400397	-44.02110135	234	562202	15140085	15140085
209	Circular Saúde Havaí	0	Havaí	Rua Deputado Sebastião Nascimento, 640	-19.96586154	-43.97314423	Rua Deputado Sebastião Nascimento, 640	-19.96586154	-43.97314423	12	701774	22378736	22378736
301	Estação Diamante/Novo Santa Cecília via Brasil Industrial	0	Estação Diamante	Estação Diamante - Plataforma A5	-19.99433587	-44.02420383	Estação Diamante - Plataforma A5	-19.99433587	-44.02420383	227	561924	15246200	15246200
302	Estação Diamante / Vila Pinho	0	Estação Diamante (Via Conjunto Aguas Claras)	Estação Diamante - Plataforma A6	-19.99443291	-44.02429904	Estação Diamante - Plataforma A6	-19.99443291	-44.02429904	468	562184	15246201	15246201
303	Estação Diamante / Santa Cecilia Via Castanheiras	0	Estação Diamante	Estação Diamante - Plataforma A2	-19.99406068	-44.02390878	Estação Diamante - Plataforma A2	-19.99406068	-44.02390878	257	562140	15246198	15246198
304	Estação Diamante / Jatoba Iv	0	Estação Diamante	Estação Diamante	-19.99395276	-44.02380015	Estação Diamante	-19.99395276	-44.02380015	261	562241	15246197	15246197
305	Estação Diamante / Mangueiras	0	Estação Diamante	Estação Diamante - Plataforma B5	-19.99442174	-44.02416911	Estação Diamante - Plataforma B5	-19.99442174	-44.02416911	424	561860	15246206	15246206
308	Estação Barreiro / Tirol	0	Estação Barreiro	Estação Barreiro - Plataforma C6	-19.97406195	-44.02175447	Estação Barreiro - Plataforma C6	-19.97406195	-44.02175447	283	562175	15140107	15140107
309	Estação Diamante / Bairro Petropolis	0	Estação Diamante (Principal)	Estação Diamante - Plataforma B3	-19.99423143	-44.02396258	Estação Diamante - Plataforma B3	-19.99423143	-44.02396258	354	561803	15246204	15246204
309	Estação Diamante / Bairro Petropolis	1	Estação Diamante	Rua Flor De Pitangueira 119	-20.02028479	-44.02933102	Estação Diamante - Plataforma B3	-19.99423143	-44.02396258	6	561803	14788050	15246204
310	Estação Diamante / 3 E 4 Secao	0	Estação Diamante	Estação Diamante - Plataforma B2	-19.99412305	-44.02385529	Estação Diamante - Plataforma B2	-19.99412305	-44.02385529	278	562021	15246203	15246203
311	Estação Diamante / Independencia	0	Estação Diamante	Estação Diamante - Plataforma B6	-19.99452634	-44.02426567	Estação Diamante - Plataforma B6	-19.99452634	-44.02426567	357	561900	15246207	15246207
311	Estação Diamante / Independencia	1	Estação Diamante (Rua Flor de Pitangueira/Estacao Diamante)	Rua Flor De Pitangueira 119	-20.02028479	-44.02933102	Estação Diamante - Plataforma B6	-19.99452634	-44.02426567	35	561900	14788050	15246207
313	Estação Diamante / Olaria	0	Estação Diamante	Estação Diamante - Plataforma B3	-19.99423143	-44.02396258	Estação Diamante - Plataforma B3	-19.99423143	-44.02396258	243	561930	15246204	15246204
314	Estação Diamante/Estação Barreiro Via Santa Helena	0	Estação Diamante	Estação Diamante - Plataforma A2	-19.99406068	-44.02390878	Estação Diamante - Plataforma A2	-19.99406068	-44.02390878	254	562000	15246198	15246198
315	Estação Barreiro / Barreiro / Maldonado	0	Estação Barreiro	Estação Barreiro - Plataforma C2	-19.97384264	-44.02083447	Estação Barreiro - Plataforma C2	-19.97384264	-44.02083447	241	561859	15140102	15140102
318	Estação Barreiro/Jardim Liberdade Via Milionarios	0	Estação Barreiro (Principal)	Estação Barreiro - Plataforma B2	-19.97393843	-44.02081167	Estação Barreiro - Plataforma C2	-19.97384264	-44.02083447	335	561939	15140084	15140102
318	Estação Barreiro/Jardim Liberdade Via Milionarios	1	Estação Barreiro (Partidas da Rua Jeremias)	Rua Jeremias 88	-19.99151828	-43.98401686	Estação Barreiro - Plataforma B2	-19.97393843	-44.02081167	5	561939	14787861	15140084
319	Vila Cemig/Conjunto Esperanca	0	Conjunto Esperanca	Rua Atlanta 14	-19.99328732	-43.98971693	Rua Atlanta 14	-19.99328732	-43.98971693	216	561823	14785044	14785044
321	Olhos D Agua / Pilar	0	Olhos dagua	Rua Chaquibe Hassan Souki 98	-19.99219233	-43.96578177	Rua Chaquibe Hassan Souki 98	-19.99219233	-43.96578177	187	562178	14790254	14790254
