route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
561890,37926,5201,Dona Clara/Buritis,,3,,BED000,000000
561891,37926,3302A,Nova Pampulha/Centro - Via Zoológico,,3,,012841,FFFFFF
561892,37926,5104,Suzana/Cruzeiro-Via Universitario,,3,,012841,FFFFFF
561893,37926,838,Estação São Gabriel/Palmares Via Maria Virginia,,3,,012841,FFFFFF
561894,37926,330,Estação Barreiro / Independencia,,3,,012841,FFFFFF
561896,37926,62,Estação Venda Nova/Savassi Via Hospitais,,3,,BED000,000000
561898,37926,8501,Maria Goretti / Engenho Nogueira via Ouro Preto,,3,,012841,FFFFFF
561899,37926,2150,Grajau/Sion Via Contorno,,3,,012841,FFFFFF
561900,37926,311,Estação Diamante / Independencia,,3,,012841,FFFFFF
561901,37926,8401,Cachoeirinha/São Jose,,3,,012841,FFFFFF
561903,37926,511,Estação Ponto São Jose / Jardim Alvorada,,3,,012841,FFFFFF
561904,37926,9503,Taquaril/Jaraguá,,3,,012841,FFFFFF
561905,37926,3055,Estação Barreiro/Savassi Via Bhshopping,,3,,012841,FFFFFF
561907,37926,8102,União/Carmo Sion,,3,,012841,FFFFFF
561912,37926,631,Estação Vilarinho / Serra Verde Via Minas Caixa,,3,,012841,FFFFFF
561914,37926,9208,Taquaril/Conjunto Santa Maria,,3,,012841,FFFFFF
561915,37926,4110,Dom Cabral/Belvedere,,3,,012841,FFFFFF
561916,37926,9101,Alto Vera Cruz/São Bento,,3,,012841,FFFFFF
561917,37926,814,Estação São Gabriel / Jardim Vitoria,,3,,012841,FFFFFF
561918,37926,9410,Sagrada Família/Coração Eucarístico,,3,,012841,FFFFFF
561919,37926,329,Estação Barreiro / Jatoba,,3,,012841,FFFFFF
561920,37926,332,Estação Barreiro / Milionarios - Bonsucesso,,3,,012841,FFFFFF
561921,37926,4501,California II / São Paulo,,3,,012841,FFFFFF
561923,37926,2103,Prado/Anchieta,,3,,012841,FFFFFF
561924,37926,301,Estação Diamante/Novo Santa Cecília via Brasil Industrial,,3,,012841,FFFFFF
561925,37926,713,Estação São Gabriel / Lajedo,,3,,012841,FFFFFF
561926,37926,641,Estação Vilarinho/Serra Verde,,3,,012841,FFFFFF
561928,37926,4405,Coqueiros / Centro / Hospitais,,3,,012841,FFFFFF
561929,37926,50,Estação Pampulha / Centro - Direta,,3,,BED000,000000
561930,37926,313,Estação Diamante / Olaria,,3,,012841,FFFFFF
561932,37926,8405,Palmares/Bela Vista,,3,,012841,FFFFFF
561933,37926,622,Estação Venda Nova / Lagoinha,,3,,012841,FFFFFF
561934,37926,5503A,Goiânia A / Centro / Hospitais,,3,,012841,FFFFFF
561935,37926,6030,Cidade Administrativa/Savassi Via Hospitais,,3,,BED000,000000
561936,37926,9407,Alto Vera Cruz/Dom Bosco,,3,,012841,FFFFFF
561937,37926,61,Estação Venda Nova/Centro-Direta,,3,,BED000,000000
561939,37926,318,Estação Barreiro/Jardim Liberdade Via Milionarios,,3,,012841,FFFFFF
561942,37926,9202,Pompéia/Jardim América,,3,,012841,FFFFFF
561943,37926,3050,Estação Diamante/Hospitais Via Bh Shopping,,3,,012841,FFFFFF
561944,37926,4801A,Jardim Filadelfia/Boa Vista A,,3,,012841,FFFFFF
561945,37926,618,Estação Pampulha/Rio Branco Via Jardim Leblon,,3,,012841,FFFFFF
561946,37926,204,Estação Vila Oeste / Nova Gameleira,,3,,012841,FFFFFF
561947,37926,8001A,Santa Inês/BH Shopping,,3,,012841,FFFFFF
561948,37926,620,Estação Pampulha / Santa Monica Via Santa Amelia,,3,,012841,FFFFFF
561949,37926,616,Estação Pampulha / Ceu Azul C,,3,,012841,FFFFFF
561950,37926,3350,Estação Barreiro / Estação Diamante - Via Hospital Metropolitano,,3,,012841,FFFFFF
561951,37926,821,Goiânia / Metrô Estação José Cândido,,3,,012841,FFFFFF
561952,37926,4034,Novo Dom Bosco / Savassi Via Padre Eustaquio,,3,,012841,FFFFFF
561953,37926,4113,Bom Jesus/Belvedere,,3,,012841,FFFFFF
561955,37926,SC04A,Santa Casa/Savassi/Rodoviaria A,,3,,012841,FFFFFF
561956,37926,621,Estação Venda Nova / Lagoa,,3,,012841,FFFFFF
561957,37926,9030,Castanheiras/Centro,,3,,012841,FFFFFF
561958,37926,8551,Estação São Gabriel / Estação UFMG via Anel Rodoviário,,3,,BED000,000000
561959,37926,645,Estação Pampulha / Santa Monica Via Jardim Atlântico,,3,,012841,FFFFFF
561960,37926,337,Estação Barreiro / Itaipu,,3,,012841,FFFFFF
561961,37926,9403,Paraiso/Caiçara,,3,,012841,FFFFFF
561963,37926,SC04B,Santa Casa/Rodoviaria/Savassi B,,3,,012841,FFFFFF
561964,37926,4103,Aparecida/Parque das Mangabeiras,,3,,012841,FFFFFF
561966,37926,901,Circular Leste / Baleia / Hospitais,,3,,012841,FFFFFF
561968,37926,82,Estação São Gabriel / Savassi Via Hospitais,,3,,BED000,000000
561969,37926,331,Estação Barreiro / Conjunto Antônio Teixeira Dias,,3,,012841,FFFFFF
561970,37926,3502,Ouro Preto/São Gabriel,,3,,012841,FFFFFF
561971,37926,3054,Milionarios/Centro,,3,,012841,FFFFFF
561972,37926,705,Estação São Gabriel / São Tomaz,,3,,012841,FFFFFF
561973,37926,1404A,Palmeiras / Alipio de Melo,,3,,012841,FFFFFF
561974,37926,5401,São Luiz/Dom Cabral,,3,,BED000,000000
561975,37926,327,Estação Barreiro / Cardoso A,,3,,012841,FFFFFF
561979,37926,9414,Santa Inês/João Pinheiro,,3,,012841,FFFFFF
561982,37926,406,Estação Ponto São José / Pindorama  - Via Glória,,3,,012841,FFFFFF
561983,37926,9034,Taquaril/Centro,,3,,012841,FFFFFF
561985,37926,3503A,Santa Terezinha/São Gabriel,,3,,012841,FFFFFF
561987,37926,709,Estação São Gabriel / Tupi,01 - Principal,3,,012841,FFFFFF
561988,37926,5106,Bandeirantes / Bh Shopping,,3,,BED000,000000
561992,37926,642,Estação Venda Nova/Estação Vilarinho/Cidade Administrativa,,3,,012841,FFFFFF
561993,37926,1505,Alto dos Pinheiros/Tupi,,3,,012841,FFFFFF
561998,37926,8108,Cidade Nova/Savassi - Via Rua da Bahia,,3,,012841,FFFFFF
561999,37926,813,Estação São Gabriel/Paulo VI Via Ribeiro de Abreu,,3,,012841,FFFFFF
562000,37926,314,Estação Diamante/Estação Barreiro Via Santa Helena,,3,,012841,FFFFFF
562001,37926,714,Estação São Gabriel / Casas Populares,,3,,012841,FFFFFF
562003,37926,5203,Castelo/Estrela do Oriente-Via Manacas,,3,,012841,FFFFFF
562004,37926,1030,Avenida,,3,,012841,FFFFFF
562008,37926,8151,Estação São Gabriel/BH Shopping Via Anel Rodoviario,,3,,012841,FFFFFF
562012,37926,9404,São Lucas/Nova Esperança,,3,,012841,FFFFFF
562013,37926,707,Estação São Gabriel / Jardim Guanabara,,3,,012841,FFFFFF
562016,37926,32,Estação Barreiro/Centro-Tamoios,,3,,012841,FFFFFF
562020,37926,9103,Santa Tereza/Santo Antônio,,3,,012841,FFFFFF
562021,37926,310,Estação Diamante / 3 E 4 Secao,,3,,012841,FFFFFF
562023,37926,4031,Santa Maria / Hospitais,,3,,012841,FFFFFF
562026,37926,206,Circular Oeste,,3,,012841,FFFFFF
562027,37926,902,Taquaril / Castanheiras,,3,,012841,FFFFFF
562030,37926,3302B,Trevo / Centro - Via Braunas,,3,,012841,FFFFFF
562032,37926,SC01B,Contorno B,,3,,012841,FFFFFF
562033,37926,335,Estação Barreiro / Lindeia,,3,,012841,FFFFFF
562034,37926,9210,Santa Teresa/Prado,,3,,012841,FFFFFF
562035,37926,9032,Granja de Freitas / Centro - Via Avenida dos Andradas,,3,,012841,FFFFFF
562043,37926,8103,Nova Floresta/Santa Lúcia - Via Lourdes,,3,,012841,FFFFFF
562047,37926,9405,Instituto Agronômico/Monsenhor Messias,,3,,012841,FFFFFF
562049,37926,9204,Santa Efigênia/Estoril,,3,,012841,FFFFFF
562050,37926,736,Estação Vilarinho/Juliana B,,3,,012841,FFFFFF
562051,37926,9105,Nova Vista/Sion,,3,,012841,FFFFFF
562052,37926,66,Estação Vilarinho/Centro/Hospitais Via Cristiano Machado (Direta),,3,,BED000,000000
562053,37926,3030,Pilar-Olhos D Agua / Centro,,3,,012841,FFFFFF
562054,37926,737,Estação Vilarinho/Jaqueline,,3,,012841,FFFFFF
562055,37926,5102,UFMG/Santo Antonio,,3,,012841,FFFFFF
562058,37926,806,Estação São Gabriel / Vista do Sol Via Nazaré,,3,,012841,FFFFFF
562059,37926,63,Estação Venda Nova / Avenida Antônio Carlos,,3,,BED000,000000
562060,37926,9412,Conjunto Taquaril/Padre Eustáquio,,3,,012841,FFFFFF
562064,37926,9209,Sagrada Família/Gutierrez,,3,,012841,FFFFFF
562066,37926,201,Morro Das Pedras / Hospital Madre Teresa,,3,,012841,FFFFFF
562068,37926,4201,Alto Caicara/Nova Cintra,,3,,012841,FFFFFF
562072,37926,3301B,Castelo / Centro - Via Avenida Carlos Luz,,3,,012841,FFFFFF
562074,37926,825,Estação São Gabriel/Vitoria II Via Upa-Nordeste,,3,,012841,FFFFFF
562075,37926,639,Braunas / Shopping Del Rey,,3,,012841,FFFFFF
562079,37926,3052,Estação Diamante/Bh Shopping-Via Havai,,3,,012841,FFFFFF
562083,37926,626,Estação Venda Nova/Esplendor Via Nova America,,3,,012841,FFFFFF
562084,37926,609,Serra Verde/Santa Monica,,3,,012841,FFFFFF
562085,37926,9805,Santa Efigênia/Renascença,,3,,012841,FFFFFF
562088,37926,35,Estação Barreiro/Centro,,3,,012841,FFFFFF
