linha,nome_linha,route_id,tipo_servico,direction_id
617,Estação Pampulha / Piratininga Via Rio Branco,562181,troncais_move,1
618,Estação Pampulha/Rio Branco Via Jardim Leblon,561945,troncais_move,0
618,Estação Pampulha/Rio Branco Via Jardim Leblon,561945,troncais_move,1
619,Estação Pampulha/Santa Monica Via Santa Branca,561846,troncais_move,0
619,Estação Pampulha/Santa Monica Via Santa Branca,561846,troncais_move,1
620,Estação Pampulha / Santa Monica Via Santa Amelia,561948,troncais_move,0
620,Estação Pampulha / Santa Monica Via Santa Amelia,561948,troncais_move,1
621,Estação Venda Nova / Lagoa,561956,troncais_move,0
622,Estação Venda Nova / Lagoinha,561933,troncais_move,0
623,Estação Venda Nova / Vila Santa Branca,562407,troncais_move,0
624,Estação Venda Nova / Maria Helena A,562304,troncais_move,0
625,Estação Venda Nova / Maria Helena B,561830,troncais_move,0
626,Estação Venda Nova/Esplendor Via Nova America,562083,troncais_move,0
626,Estação Venda Nova/Esplendor Via Nova America,562083,troncais_move,1
627,Estação Venda Nova/Mantiqueira,561799,troncais_move,0
631,Estação Vilarinho / Serra Verde Via Minas Caixa,561912,troncais_move,0
633,Estação Vilarinho / Jardim dos Comerciarios,561875,troncais_move,0
634,Estação Vilarinho/Nova York Via Jardim dos Comerciarios,561833,troncais_move,0
634,Estação Vilarinho/Nova York Via Jardim dos Comerciarios,561833,troncais_move,1
635,Estação Vilarinho / Jardim dos Comerciarios C,562351,troncais_move,0
635,Estação Vilarinho / Jardim dos Comerciarios C,562351,troncais_move,1
636,Estação Vilarinho / Jardim Europa - Via Cenáculo,562341,troncais_move,0
637,Estação Vilarinho / Canaa Via Serra Verde,561811,troncais_move,0
638,Estação Vilarinho/Minas Caixa,562323,troncais_move,0
639,Braunas / Shopping Del Rey,562075,troncais_move,0
639,Braunas / Shopping Del Rey,562075,troncais_move,1
640,Estação Venda Nova / Jardim Leblon Via Rio Branco,562160,troncais_move,0
641,Estação Vilarinho/Serra Verde,561926,troncais_move,0
641,Estação Vilarinho/Serra Verde,561926,troncais_move,1
642,Estação Venda Nova/Estação Vilarinho/Cidade Administrativa,561992,troncais_move,0
643,Estação Pampulha / Copacabana Via Monte Carmelo,561883,troncais_move,0
643,Estação Pampulha / Copacabana Via Monte Carmelo,561883,troncais_move,1
644,Estação Pampulha / São Joao Batista,561832,troncais_move,0
644,Estação Pampulha / São Joao Batista,561832,troncais_move,1
645,Estação Pampulha / Santa Monica Via Jardim Atlântico,561959,troncais_move,0
645,Estação Pampulha / Santa Monica Via Jardim Atlântico,561959,troncais_move,1
646,Estação Vilarinho/Zoológico Via Estação Venda Nova,603413,troncais_move,0
702,Estação Vilarinho/Xodo-Marize Via Jardim Guanabara,562410,troncais_move,0
703,Estação São Gabriel / Guarani - Via Primeiro de Maio,562230,troncais_move,0
705,Estação São Gabriel / São Tomaz,561972,troncais_move,0
706,Estação São Gabriel / Heliópolis,562111,troncais_move,0
707,Estação São Gabriel / Jardim Guanabara,562013,troncais_move,0
708,Estação São Gabriel / Felicidade,562272,troncais_move,0
709,Estação São Gabriel / Tupi,561987,troncais_move,0
710,Estação São Gabriel / Providência,562227,troncais_move,0
711,Estação São Gabriel / Solimões,562412,troncais_move,0
712,Estação Pampulha / São Bernardo,561796,troncais_move,0
712,Estação Pampulha / São Bernardo,561796,troncais_move,1
713,Estação São Gabriel / Lajedo,561925,troncais_move,0
714,Estação São Gabriel / Casas Populares,562001,troncais_move,0
715,Estação São Gabriel / Monte Azul,562363,troncais_move,0
