stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
14784156,,Avenida Jequitinhonha 288,,-19.90786566,-43.89479443,,,0,,,0,
14784157,,Rua Luzia Salomao 210,,-19.80192308,-43.98027805,,,0,,,0,
14784158,,Rua Joao Gualberto Filho 191,,-19.9048087,-43.92573116,,,0,,,0,
14784159,,Rua Maria Da Gloria Coimbra 25,,-19.80165953,-43.93912567,,,0,,,0,
14784160,,Rua Santo Amaro 1060,,-19.89827649,-43.91581798,,,0,,,0,
14784161,,Ala Da Serra 20,,-19.98355605,-43.9461022,,,0,,,0,
14784162,,Rua Fluorina 1370,,-19.92258018,-43.90439172,,,0,,,0,
14784163,,Rua Minueto 202,,-19.83072777,-43.97334021,,,0,,,0,
14784164,,Rua Jonas Lins De Oliveira 200,,-19.85768269,-43.94452485,,,0,,,0,
14784165,,Rua Ephigenio Salles Victor 42,,-19.95117046,-44.00667968,,,0,,,0,
14784166,,Rua Seringueira 36,,-19.94616425,-43.9939381,,,0,,,0,
14784167,,Rua Julio Cezar 250,,-19.85386945,-43.8972183,,,0,,,0,
14784168,,Rua Sao Joao Batista Do Gloria 246,,-19.82022162,-43.99128376,,,0,,,0,
14784169,,Avenida Vilarinho 5430,,-19.80193169,-43.98520372,,,0,,,0,
14784170,,Rua Ephigenio Salles Victor 41,,-19.95112672,-44.00662854,,,0,,,0,
14784171,,Rua Fausto Alvim 172,,-19.92698726,-43.9806797,,,0,,,0,
14784172,,Rua Padre Pedro Pinto 506,,-19.81722859,-43.95454248,,,0,,,0,
14784173,,Rua Sao Jacinto 145,,-19.83542813,-43.88884171,,,0,,,0,
14784174,,Avenida Cristiano Machado 8721,,-19.85887478,-43.93429215,,,0,,,0,
14784175,,Rua Dos Mensageiros 135,,-19.82925875,-43.86886521,,,0,,,0,
14784176,,Avenida Dos Andradas 2901,,-19.92056415,-43.92366225,,,0,,,0,
14784177,,Rod Anel Rodoviario Celso Mello Azevedo 8032,,-19.9450751,-44.00768254,,,0,,,0,
14784178,,Rua Domingos Costa Rezende 356,,-19.84816815,-44.00453292,,,0,,,0,
14784179,,Avenida Senador Jose Augusto 260,,-19.98118744,-43.97831517,,,0,,,0,
14784180,,Avenida Francisca Gregory 284,,-19.83229063,-43.97705141,,,0,,,0,
14784181,,Rua Ephigenio Salles Victor 35,,-19.95161878,-44.00607668,,,0,,,0,
14784182,,Rua Praca Dos Touros 290,,-19.81414171,-43.9375435,,,0,,,0,
14784183,,Rua Ephigenio Salles Victor 34,,-19.95166042,-44.00613843,,,0,,,0,
14784184,,"Rua Jornalista Djalma Andrade, 1300",,-19.97329831,-43.93254152,,,0,,,0,
14784185,,Avenida Barbacena 600,,-19.92382465,-43.95338381,,,0,,,0,
14784186,,Rua Jose Simplicio Moreira 948,,-19.83351278,-44.01382559,,,0,,,0,
14784187,,Rua Conselheiro Lafaiete 554,,-19.90738801,-43.92458298,,,0,,,0,
14784188,,Rua Dos Mensageiros 130,,-19.8292997,-43.86879741,,,0,,,0,
14784189,,Avenida Jose Maria Da Costa 453,,-19.77754106,-43.98406199,,,0,,,0,
14784190,,Rua Augusto Souza Coutinho 896,,-19.91406488,-44.00473567,,,0,,,0,
